Date,Price,Open,High,Low,Change %
02-12-2009,56110,55308,56307,55070,1.31
01-12-2009,55387,54847,55570,54421,1.27
30-11-2009,54690,54729,55044,54093,0.08
27-11-2009,54646,55556,55682,53512,-1.78
26-11-2009,55635,54720,55688,54451,1.8
25-11-2009,54654,54300,54851,53895,0.61
24-11-2009,54323,54135,54438,53591,0.4
23-11-2009,54105,53570,54501,53107,1.11
20-11-2009,53512,53438,53708,52798,0.12
19-11-2009,53447,52888,53559,52558,1.09
18-11-2009,52874,52751,53293,52421,0.32
17-11-2009,52707,52387,52837,52035,0.53
16-11-2009,52431,51625,52615,51682,1.48
